Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Payment Method Variant,Modification Merchant Reference,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Merchant Order Reference,Store
CrewClothing,CrewClothingPOS,MFP33CZHDCH3CH52,2023-09-12 09:43:06,visa,2023-09-12 09:45:42,BST,Refunded,N5NN4G2NDT3TLKH2,GBP,49.00,,1.0,GBP,49.00,,0.00,,,,visastandarddebit,2023-09-12 09:43:06,577,,,,,,,,,235
CrewClothing,CrewClothingPOS,CTGBS442WV3J7XB2,227A0115927,visa,2023-09-12 09:45:47,BST,Settled,XBWP4V6J2N2J8HH2,GBP,,45.00,1.0,GBP,,44.82,,0.07,0.02,0.09,visastandarddebit,<auto>,577,,,,,,,,,227
CrewClothing,CrewClothingPOS,RS29JGPSFW329C32,164A0135300,mc,2023-09-12 09:46:16,BST,Settled,XLZTNGNBGVWXVT32,GBP,,39.00,1.0,GBP,,38.84,,0.06,0.02,0.08,mcstandarddebit,<auto>,577,,,,,,,,,164
CrewClothing,CrewClothingPOS,LT7FRNJ4V22Q4932,221A0149584,mc,2023-09-12 09:47:08,BST,Refunded,SSGW4HNBGVWXVT32,GBP,93.80,,1.0,GBP,93.80,,0.00,,,,mcpremiumcredit,221A0149584,577,,,,,,,,,221
CrewClothing,CrewClothingPOS,F37NW7H4DDD4J4C2,136A0119922,visa,2023-09-12 09:47:19,BST,Settled,G38PLGQHFR7CC462,GBP,,24.00,1.0,GBP,,23.88,,0.04,0.01,0.07,visapremiumcredit,<auto>,577,,,,,,,,,136
CrewClothing,CrewClothingPOS,QTNFJ9VJZR5BFF32,221A0149585,mc,2023-09-12 09:47:44,BST,Settled,CV3ZC9LDM29WTRG2,GBP,,45.00,1.0,GBP,,44.77,,0.07,0.02,0.14,mcpremiumcredit,<auto>,577,,,,,,,,,221
CrewClothing,CrewClothingPOS,CHNJ3R5Q77CNWPG2,164A0135301,visa,2023-09-12 09:48:39,BST,Settled,SW6ZJH2NDT3TLKH2,GBP,,104.00,1.0,GBP,,103.59,,0.17,0.03,0.21,visastandarddebit,<auto>,577,,,,,,,,,164
CrewClothing,CrewClothingPOS,J6R6RHV949PDPK52,154A0131040,mc,2023-09-12 09:49:46,BST,Settled,F62HT83ZXH7NT6G2,GBP,,50.00,1.0,GBP,,49.80,,0.08,0.02,0.10,mcstandarddebit,<auto>,577,,,,,,,,,154
CrewClothing,CrewClothingPOS,NSC6Z3JGF9CTF232,197A0114017,visa,2023-09-12 09:50:16,BST,Settled,R4W3CJ2NDT3TLKH2,GBP,,100.10,1.0,GBP,,99.61,,0.16,0.03,0.30,visapremiumcredit,<auto>,577,,,,,,,,,197
CrewClothing,CrewClothingPOS,NK4T8MK5N5FJBFG2,186A0118760,visa,2023-09-12 09:50:25,BST,Settled,ZFTFCZF7JWDMM6G2,GBP,,74.00,1.0,GBP,,73.71,,0.12,0.02,0.15,visastandarddebit,<auto>,577,,,,,,,,,186
CrewClothing,CrewClothingPOS,JJMBNBQR8GDNQPB2,227A0115928,mc,2023-09-12 09:50:27,BST,Settled,RFZK693ZXH7NT6G2,GBP,,55.00,1.0,GBP,,54.78,,0.09,0.02,0.11,mcstandarddebit,<auto>,577,,,,,,,,,227
CrewClothing,CrewClothingPOS,FG9X6G4S3SS3CH52,2023-09-12 09:49:34,mc,2023-09-12 09:50:38,BST,Refunded,LTNB993ZXH7NT6G2,GBP,4.82,,1.0,GBP,4.82,,0.00,,,,mcstandarddebit,2023-09-12 09:49:34,577,,,,,,,,,190
CrewClothing,CrewClothingPOS,KMZPQ94FMQ683VB2,146A0120547,visa,2023-09-12 09:51:50,BST,Refunded,BPPZKCZSN8HBFF32,GBP,6.75,,1.0,GBP,6.75,,0.00,,,,visapremiumcredit,146A0120547,577,,,,,,,,,146
CrewClothing,CrewClothingPOS,TD74LKS45DF29C32,103A0123915,visa,2023-09-12 09:52:06,BST,Settled,Q3C58K2NDT3TLKH2,GBP,,27.00,1.0,GBP,,26.90,,0.04,0.01,0.05,visapremiumdebit,<auto>,577,,,,,,,,,103
CrewClothing,CrewClothingPOS,QWFCX2HBFVCMPPG2,131A0119093,mc,2023-09-12 09:52:18,BST,Settled,D5KP49S9H8TJGHH2,GBP,,143.20,1.0,GBP,,142.49,,0.23,0.05,0.43,mcpremiumcredit,<auto>,577,,,,,,,,,131
CrewClothing,CrewClothingPOS,MKLGSQL9TW94KH52,236A0108896,visa,2023-09-12 09:52:31,BST,Refunded,PSCWQFSZG6RTJ482,GBP,70.00,,1.0,GBP,70.00,,0.00,,,,visastandarddebit,236A0108896,577,,,,,,,,,236
CrewClothing,CrewClothingPOS,HXWV4JS33X7KFXB2,163A0119218,mc,2023-09-12 09:52:53,BST,Settled,CVQL6QPJ8KPJDXG2,GBP,,190.00,1.0,GBP,,189.06,,0.30,0.07,0.57,mcstandardcredit,<auto>,577,,,,,,,,,163
CrewClothing,CrewClothingPOS,HWMT4WQCX2PH2C52,190A0125581,mc,2023-09-12 09:53:17,BST,Settled,WJRLQ2G7JWDMM6G2,GBP,,25.00,1.0,GBP,,24.87,,0.04,0.01,0.08,mcpremiumcredit,<auto>,577,,,,,,,,,190
CrewClothing,CrewClothingPOS,X7D77626T46XZP52,631A0106494,visa,2023-09-12 09:54:09,BST,Settled,ZXDDDRGVFWVFZP72,GBP,,61.00,1.0,GBP,,60.76,,0.10,0.02,0.12,visastandarddebit,<auto>,577,,,,,,,,,631
CrewClothing,CrewClothingPOS,N6S3XBP2W7JQ4932,617A0119171,visa,2023-09-12 09:55:15,BST,Settled,NKSPBRPJ8KPJDXG2,GBP,,34.40,1.0,GBP,,34.26,,0.06,0.01,0.07,visastandarddebit,<auto>,577,,,,,,,,,617
CrewClothing,CrewClothingPOS,GX5GHDXPXNFNTM52,631A0106495,visa,2023-09-12 09:55:54,BST,Settled,TMN34M2NDT3TLKH2,GBP,,44.00,1.0,GBP,,43.83,,0.07,0.01,0.09,visastandarddebit,<auto>,577,,,,,,,,,631
CrewClothing,CrewClothingPOS,K3296GT3J49H4FG2,626A0124402,visa,2023-09-12 09:56:16,BST,Settled,GST39M2NDT3TLKH2,GBP,,50.10,1.0,GBP,,49.90,,0.08,0.02,0.10,visastandarddebit,<auto>,577,,,,,,,,,626
CrewClothing,CrewClothingPOS,CFLCBZ6V7LBVM232,175A0126260,visa,2023-09-12 09:57:13,BST,Settled,B32T9SPJ8KPJDXG2,GBP,,148.00,1.0,GBP,,147.28,,0.24,0.04,0.44,visapremiumcredit,<auto>,577,,,,,,,,,175
CrewClothing,CrewClothingPOS,J4M3K2ZWNQ683VB2,167A0123544,visa,2023-09-12 09:57:58,BST,Settled,QXRDFJSZG6RTJ482,GBP,,35.00,1.0,GBP,,34.86,,0.06,0.01,0.07,visastandarddebit,<auto>,577,,,,,,,,,167
CrewClothing,CrewClothingPOS,TVRZXN757H697F32,127A0116970,visa,2023-09-12 09:58:44,BST,Settled,TSRTN2N3GZ8TJ482,GBP,,74.00,1.0,GBP,,73.71,,0.12,0.02,0.15,visastandarddebit,<auto>,577,,,,,,,,,127
CrewClothing,CrewClothingPOS,JGNK6WQN8XNQ4932,177A0117504,mc,2023-09-12 09:59:43,BST,Settled,VWGGPF3ZXH7NT6G2,GBP,,27.90,1.0,GBP,,27.76,,0.04,0.02,0.08,mcpremiumcredit,<auto>,577,,,,,,,,,177
CrewClothing,CrewClothingPOS,H9TXJCPZSRB99VB2,216A0118321,mc,2023-09-12 10:00:10,BST,Settled,KH3DWF3ZXH7NT6G2,GBP,,15.20,1.0,GBP,,15.12,,0.02,0.01,0.05,mcpremiumcredit,<auto>,577,,,,,,,,,216
CrewClothing,CrewClothingPOS,T6FK7TK5N5FJBFG2,634A0001266,mc,2023-09-12 10:02:42,BST,Refunded,G9X76H3ZXH7NT6G2,GBP,49.00,,1.0,GBP,49.00,,0.00,,,,mcstandarddebit,634A0001266,577,,,,,,,,,634
CrewClothing,CrewClothingPOS,JKG8QLW9C2283VB2,229A0139695,visa,2023-09-12 10:03:30,BST,Settled,ZL9RKGS9H8TJGHH2,GBP,,91.00,1.0,GBP,,90.65,,0.15,0.02,0.18,visastandarddebit,<auto>,577,,,,,,,,,229
CrewClothing,CrewClothingPOS,HT4MGD54RFNR8HG2,146A0122435,mc,2023-09-12 10:04:23,BST,Refunded,RD3B68G7JWDMM6G2,GBP,35.00,,1.0,GBP,35.00,,0.00,,,,mcpremiumcredit,146A0122435,577,,,,,,,,,146
CrewClothing,CrewClothingPOS,LWTP75N39LCH2C52,616A0140214,visa,2023-09-12 10:05:54,BST,Settled,J6FS9NSZG6RTJ482,GBP,,18.00,1.0,GBP,,17.87,,0.03,0.01,0.09,visacommercialdebit,<auto>,577,,,,,,,,,616
CrewClothing,CrewClothingPOS,KS44B28V9XPCHK52,172A0114645,visa,2023-09-12 10:06:51,BST,Settled,K23K6P4RRXVH6XG2,GBP,,80.00,1.0,GBP,,79.69,,0.13,0.02,0.16,visastandarddebit,<auto>,577,,,,,,,,,172
CrewClothing,CrewClothingPOS,PVXBBWK5N5FJBFG2,161A0120345,mc,2023-09-12 10:07:04,BST,Settled,KBXXG9G7JWDMM6G2,GBP,,135.00,1.0,GBP,,134.46,,0.22,0.05,0.27,mcstandarddebit,<auto>,577,,,,,,,,,161
CrewClothing,CrewClothingPOS,Q7G8Q836Q3N3CH52,223A0134819,mc,2023-09-12 10:08:09,BST,Settled,BPHBSP4RRXVH6XG2,GBP,,46.90,1.0,GBP,,46.71,,0.08,0.02,0.09,mcstandarddebit,<auto>,577,,,,,,,,,223
CrewClothing,CrewClothingPOS,RPG45GBWWHKHBFG2,631A0106496,mc,2023-09-12 10:08:51,BST,Settled,B5W2GH9TVK3VQ482,GBP,,80.00,1.0,GBP,,79.68,,0.13,0.03,0.16,mcstandarddebit,<auto>,577,,,,,,,,,631
CrewClothing,CrewClothingPOS,QX5S3NZSN8HBFF32,161A0120346,visa,2023-09-12 10:09:29,BST,Settled,GHFPPT2NDT3TLKH2,GBP,,104.00,1.0,GBP,,103.49,,0.17,0.03,0.31,visapremiumcredit,<auto>,577,,,,,,,,,161
CrewClothing,CrewClothingPOS,BQCHVTM8G3VMPPG2,616A0140215,mc,2023-09-12 10:10:16,BST,Settled,FJVDTL3ZXH7NT6G2,GBP,,31.50,1.0,GBP,,31.00,,0.05,0.02,0.43,mccommercialdebit,<auto>,577,,,,,,,,,616
CrewClothing,CrewClothingPOS,XRV5BCVPDNDKFXB2,213A0117268,mc,2023-09-12 10:11:34,BST,Refunded,FMPGNCG7JWDMM6G2,GBP,65.00,,1.0,GBP,65.00,,0.00,,,,mcstandarddebit,213A0117268,577,,,,,,,,,213
CrewClothing,CrewClothingPOS,BN77897V7LBVM232,163A0119219,mc,2023-09-12 10:13:36,BST,Refunded,WBLKGS4RRXVH6XG2,GBP,55.00,,1.0,GBP,55.00,,0.00,,,,mcpremiumcredit,163A0119219,577,,,,,,,,,163
CrewClothing,CrewClothingPOS,QZZTZDHBFVCMPPG2,626A0124403,visa,2023-09-12 10:13:48,BST,Settled,SXNJLMS9H8TJGHH2,GBP,,37.90,1.0,GBP,,37.75,,0.06,0.01,0.08,visastandarddebit,<auto>,577,,,,,,,,,626
CrewClothing,CrewClothingPOS,NQSNMWM8G3VMPPG2,213A0117269,mc,2023-09-12 10:13:55,BST,Settled,JG2LSDG7JWDMM6G2,GBP,,15.00,1.0,GBP,,14.92,,0.02,0.01,0.05,mcpremiumcredit,<auto>,577,,,,,,,,,213
CrewClothing,CrewClothingPOS,SWH9JTZ4HWQG4FG2,2023-09-11 15:39:53,visa,2023-09-12 10:14:00,BST,Refunded,J84GQCVN3Q2PV832,GBP,18.00,,1.0,GBP,18.00,,0.00,,,,visastandarddebit,2023-09-11 15:39:53,577,,,,,,,,,177
CrewClothing,CrewClothingPOS,XLTZ44Z68HSFQ632,170A0120256,mc,2023-09-12 10:14:06,BST,Settled,M982QN3ZXH7NT6G2,GBP,,40.00,1.0,GBP,,39.80,,0.06,0.02,0.12,mcpremiumcredit,<auto>,577,,,,,,,,,170
CrewClothing,CrewClothingPOS,P94C5QJ7VJPMQPB2,190A0125582,visa,2023-09-12 10:14:36,BST,Settled,G9TTC5HVFWVFZP72,GBP,,65.00,1.0,GBP,,64.75,,0.10,0.02,0.13,visastandarddebit,<auto>,577,,,,,,,,,190
CrewClothing,CrewClothingPOS,FSHQZWJXQLJMPPG2,146A0122436,visa,2023-09-12 10:14:38,BST,Settled,G7T38X2NDT3TLKH2,GBP,,36.00,1.0,GBP,,35.86,,0.06,0.01,0.07,visastandarddebit,<auto>,577,,,,,,,,,146
CrewClothing,CrewClothingPOS,FSCMVQH58FTG2C52,617A0119172,mc,2023-09-12 10:14:41,BST,Settled,LN3TGBN3GZ8TJ482,GBP,,93.50,1.0,GBP,,93.03,,0.15,0.04,0.28,mcpremiumcredit,<auto>,577,,,,,,,,,617
CrewClothing,CrewClothingPOS,HBGL6RH58FTG2C52,631A0106497,mc,2023-09-12 10:14:50,BST,Refunded,WPXMD69XV3RRDKH2,GBP,50.00,,1.0,GBP,50.00,,0.00,,,,mcpremiumcredit,631A0106497,577,,,,,,,,,631
CrewClothing,CrewClothingPOS,RPD65XV949PDPK52,223A0134820,visa,2023-09-12 10:14:59,BST,Settled,CR66CFG7JWDMM6G2,GBP,,49.50,1.0,GBP,,49.30,,0.08,0.02,0.10,visapremiumdebit,<auto>,577,,,,,,,,,223
CrewClothing,CrewClothingPOS,FHC4Q4Z68HSFQ632,163A0119220,mc,2023-09-12 10:15:14,BST,Refunded,JKPH9P3ZXH7NT6G2,GBP,55.00,,1.0,GBP,55.00,,0.00,,,,mcpremiumcredit,163A0119220,577,,,,,,,,,163
CrewClothing,CrewClothingPOS,ZQN9Z4NCH3699VB2,216A0118322,visa,2023-09-12 10:15:20,BST,Refunded,ZMDF55QJ8KPJDXG2,GBP,57.00,,1.0,GBP,57.00,,0.00,,,,visastandarddebit,216A0118322,577,,,,,,,,,216
CrewClothing,CrewClothingPOS,RXNP49P5WP7NQPB2,2023-09-12 10:15:04,visa,2023-09-12 10:16:13,BST,Settled,FDSBQT4RRXVH6XG2,GBP,,50.00,1.0,GBP,,49.80,,0.08,0.02,0.10,visastandarddebit,<auto>,577,,,,,,,,,188
CrewClothing,CrewClothingPOS,H4P85MPXHTXDQ632,147A0127170,mc,2023-09-12 10:16:27,BST,Refunded,KVVX679XV3RRDKH2,GBP,31.50,,1.0,GBP,31.50,,0.00,,,,mcsuperpremiumcredit,147A0127170,577,,,,,,,,,147
CrewClothing,CrewClothingPOS,RQT2DHCXH4MMMM52,221A0149586,visa,2023-09-12 10:17:07,BST,Settled,BVR66ZQHFR7CC462,GBP,,56.70,1.0,GBP,,56.48,,0.09,0.02,0.11,visastandarddebit,<auto>,577,,,,,,,,,221
CrewClothing,CrewClothingPOS,KB2MQVQT72HSGHG2,113A0202543,mc,2023-09-12 10:17:38,BST,Settled,DCBDMGG7JWDMM6G2,GBP,,31.50,1.0,GBP,,31.34,,0.05,0.02,0.09,mcstandardcredit,<auto>,577,,,,,,,,,113
CrewClothing,CrewClothingPOS,VWDPT9LT79VMQPB2,183A0160025,visa,2023-09-12 10:17:45,BST,Settled,XV7LPF7J2N2J8HH2,GBP,,25.00,1.0,GBP,,24.90,,0.04,0.01,0.05,visastandarddebit,<auto>,577,,,,,,,,,183
CrewClothing,CrewClothingPOS,LMLZKJHCW42B7F32,229A0139696,mc,2023-09-12 10:17:52,BST,Settled,ZWBHKQ3ZXH7NT6G2,GBP,,12.60,1.0,GBP,,12.53,,0.02,0.01,0.04,mcpremiumcredit,<auto>,577,,,,,,,,,229
CrewClothing,CrewClothingPOS,KDF9ZZM8G3VMPPG2,133A0140509,mc,2023-09-12 10:18:42,BST,Settled,N87VXQ3ZXH7NT6G2,GBP,,42.00,1.0,GBP,,41.78,,0.07,0.02,0.13,mcpremiumcredit,<auto>,577,,,,,,,,,133
CrewClothing,CrewClothingPOS,SC88FL8Q72TXZP52,213A0117270,mc,2023-09-12 10:18:56,BST,Settled,QZN59HG7JWDMM6G2,GBP,,65.00,1.0,GBP,,64.74,,0.10,0.03,0.13,mcstandarddebit,<auto>,577,,,,,,,,,213
CrewClothing,CrewClothingPOS,M85QG474V9NXZP52,231A0118625,visa,2023-09-12 10:19:12,BST,Settled,PTH227QJ8KPJDXG2,GBP,,19.80,1.0,GBP,,19.72,,0.03,0.01,0.04,visasuperpremiumdebit,<auto>,577,,,,,,,,,231
CrewClothing,CrewClothingPOS,RFZBGNS87BBFQ632,220A0128150,visa,2023-09-12 10:19:27,BST,Settled,NGC5PL9SFC8X3SG2,GBP,,45.00,1.0,GBP,,44.54,,0.07,0.30,0.09,visapremiumdebit,<auto>,577,,,,,,,,,220
CrewClothing,CrewClothingPOS,WMT5MM9TP66J8C52,627A0108832,visa,2023-09-12 10:20:20,BST,Settled,X35ZZ23NDT3TLKH2,GBP,,35.00,1.0,GBP,,34.86,,0.06,0.01,0.07,visastandarddebit,<auto>,577,,,,,,,,,627
CrewClothing,CrewClothingPOS,Z74N2W8JKBHVM232,232A0119235,mc,2023-09-12 10:21:09,BST,Settled,X8XC6S3ZXH7NT6G2,GBP,,35.00,1.0,GBP,,34.81,,0.06,0.02,0.11,mcpremiumcredit,<auto>,577,,,,,,,,,232
CrewClothing,CrewClothingPOS,TRJFZDRCX2PH2C52,151A0160470,mc,2023-09-12 10:21:38,BST,Settled,TBZ2LJG7JWDMM6G2,GBP,,46.00,1.0,GBP,,45.77,,0.07,0.02,0.14,mcpremiumcredit,<auto>,577,,,,,,,,,151
CrewClothing,CrewClothingPOS,Q7247VZSN8HBFF32,133A0140510,mc,2023-09-12 10:21:53,BST,Settled,JQBBH3RHFR7CC462,GBP,,79.40,1.0,GBP,,79.08,,0.13,0.03,0.16,mcstandarddebit,<auto>,577,,,,,,,,,133
CrewClothing,CrewClothingPOS,DD7NDC6Q77CNWPG2,177A0117505,visa,2023-09-12 10:22:08,BST,Settled,R2QKV33NDT3TLKH2,GBP,,65.00,1.0,GBP,,64.75,,0.10,0.02,0.13,visastandarddebit,<auto>,577,,,,,,,,,177
CrewClothing,CrewClothingPOS,D9T4QJRFP73KFXB2,214A0117247,visa,2023-09-12 10:22:47,BST,Refunded,R9TLW3RHFR7CC462,GBP,48.75,,1.0,GBP,48.75,,0.00,,,,visastandardcredit,214A0117247,577,,,,,,,,,214
CrewClothing,CrewClothingPOS,Q5PKQJRFP73KFXB2,193A0155881,visa,2023-09-12 10:22:47,BST,Settled,NVTLW3RHFR7CC462,GBP,,12.60,1.0,GBP,,12.54,,0.02,0.01,0.03,visastandarddebit,<auto>,577,,,,,,,,,193
CrewClothing,CrewClothingPOS,ZGX8KFWPTSFH4FG2,162A0128864,mc,2023-09-12 10:23:27,BST,Refunded,L7BF9Z4RRXVH6XG2,GBP,30.40,,1.0,GBP,30.40,,0.00,,,,mcsuperpremiumcredit,162A0128864,577,,,,,,,,,162
CrewClothing,CrewClothingPOS,FFR5QN8Q72TXZP52,181A0114124,mc,2023-09-12 10:23:43,BST,Settled,BX2JLKG7JWDMM6G2,GBP,,45.00,1.0,GBP,,44.77,,0.07,0.02,0.14,mcpremiumcredit,<auto>,577,,,,,,,,,181
CrewClothing,CrewClothingPOS,FL4MWVQR8GDNQPB2,214A0117248,mc,2023-09-12 10:23:44,BST,Settled,NH8NFT3ZXH7NT6G2,GBP,,15.00,1.0,GBP,,14.92,,0.02,0.01,0.05,mcpremiumcredit,<auto>,577,,,,,,,,,214
CrewClothing,CrewClothingPOS,MBN7MLLL4CPMPPG2,2023-09-12 10:23:04,visa,2023-09-12 10:24:11,BST,Settled,X4D5G9QJ8KPJDXG2,GBP,,31.20,1.0,GBP,,31.08,,0.05,0.01,0.06,visastandarddebit,<auto>,577,,,,,,,,,617
CrewClothing,CrewClothingPOS,V3ZNMSLQ7R6Q4932,194A0138575,visa,2023-09-12 10:24:14,BST,Settled,NC3Q2P9SFC8X3SG2,GBP,,69.00,1.0,GBP,,68.73,,0.11,0.02,0.14,visastandarddebit,<auto>,577,,,,,,,,,194
CrewClothing,CrewClothingPOS,PPPMWJDDB6XFX632,153A0120438,mc,2023-09-12 10:24:42,BST,Settled,KXHV9BHVFWVFZP72,GBP,,97.00,1.0,GBP,,96.51,,0.16,0.04,0.29,mcsuperpremiumcredit,<auto>,577,,,,,,,,,153
CrewClothing,CrewClothingPOS,GB5LGQ2S3ZBR8HG2,188A0118797,visa,2023-09-12 10:25:01,BST,Settled,RGD3MZSZG6RTJ482,GBP,,30.00,1.0,GBP,,29.88,,0.05,0.01,0.06,visastandarddebit,<auto>,577,,,,,,,,,188
CrewClothing,CrewClothingPOS,D6FLG7DKP27PXPB2,189A0176232,mc,2023-09-12 10:25:16,BST,Settled,V62PCLG7JWDMM6G2,GBP,,54.40,1.0,GBP,,54.18,,0.09,0.02,0.11,mcstandarddebit,<auto>,577,,,,,,,,,189
CrewClothing,CrewClothingPOS,S2VQ6T3X8R7CHK52,213A0117271,visa,2023-09-12 10:25:16,BST,Refunded,P5S3Q5PBGVWXVT32,GBP,48.75,,1.0,GBP,48.75,,0.00,,,,visapremiumdebit,213A0117271,577,,,,,,,,,213
CrewClothing,CrewClothingPOS,W2KJSCRN8XNQ4932,232A0119236,mc,2023-09-12 10:25:41,BST,Refunded,MFHBDV3ZXH7NT6G2,GBP,84.75,,1.0,GBP,84.75,,0.00,,,,mcpremiumcredit,232A0119236,577,,,,,,,,,232
CrewClothing,CrewClothingPOS,CDMP62X9C2283VB2,229A0139697,visa,2023-09-12 10:25:54,BST,Settled,RJKQNK7J2N2J8HH2,GBP,,32.00,1.0,GBP,,31.88,,0.05,0.01,0.06,visastandarddebit,<auto>,577,,,,,,,,,229
CrewClothing,CrewClothingPOS,F83ZQ6GPKDT97F32,189A0176233,visa,2023-09-12 10:26:34,BST,Settled,LHRZR25RRXVH6XG2,GBP,,35.00,1.0,GBP,,34.86,,0.06,0.01,0.07,visastandarddebit,<auto>,577,,,,,,,,,189
CrewClothing,CrewClothingPOS,VR7R4XXPXNFNTM52,114A0116264,visa,2023-09-12 10:27:06,BST,Settled,WQ8GB63NDT3TLKH2,GBP,,88.20,1.0,GBP,,87.86,,0.14,0.02,0.18,visapremiumdebit,<auto>,577,,,,,,,,,114
CrewClothing,CrewClothingPOS,M5HH2W7CNRLZ2C32,113A0202544,visa,2023-09-12 10:27:34,BST,Settled,P2ZSJ63NDT3TLKH2,GBP,,30.00,1.0,GBP,,29.85,,0.05,0.01,0.09,visapremiumcredit,<auto>,577,,,,,,,,,113
CrewClothing,CrewClothingPOS,DJHDZBNCH3699VB2,196A0120894,visa,2023-09-12 10:27:46,BST,Settled,LQ2C7CQJ8KPJDXG2,GBP,,65.00,1.0,GBP,,64.75,,0.10,0.02,0.13,visastandarddebit,<auto>,577,,,,,,,,,196
CrewClothing,CrewClothingPOS,D6CNL8HS3K6TF232,232A0119237,mc,2023-09-12 10:28:14,BST,Refunded,WHDMSL7J2N2J8HH2,GBP,48.75,,1.0,GBP,48.75,,0.00,,,,mcpremiumcredit,232A0119237,577,,,,,,,,,232
